HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,B365CH,B365CA
Ath Bilbao,Barcelona,1,0,H,0,0,D,11,11,5.25,1.65
Celta,Real Madrid,1,3,A,0,1,A,7,17,5.25,1.57
Valencia,Sociedad,1,1,D,0,0,D,14,12,1.66,5.5
Mallorca,Eibar,2,1,H,1,0,H,16,11,2.87,2.55
Leganes,Osasuna,0,1,A,0,0,D,13,4,1.9,5
Villarreal,Granada,4,4,D,1,1,D,12,14,1.53,6.5
Alaves,Levante,1,0,H,0,0,D,9,16,2.3,3.2
Espanol,Sevilla,0,2,A,0,1,A,7,12,3,2.4
Betis,Valladolid,1,2,A,0,0,D,13,14,1.8,4.75
Ath Madrid,Getafe,1,0,H,1,0,H,5,6,1.5,8
Granada,Sevilla,0,1,A,0,0,D,12,11,3.8,1.95
Levante,Villarreal,2,1,H,0,1,A,16,23,2.5,2.7
Osasuna,Eibar,0,0,D,0,0,D,6,12,2.7,2.7
Real Madrid,Valladolid,1,1,D,0,0,D,22,9,1.2,12
Celta,Valencia,1,0,H,1,0,H,11,9,3.2,2.2
Getafe,Ath Bilbao,1,1,D,1,1,D,6,4,2.5,3.3
Alaves,Espanol,0,0,D,0,0,D,10,5,2.6,2.87
Mallorca,Sociedad,0,1,A,0,0,D,12,12,3.1,2.37
Leganes,Ath Madrid,0,1,A,0,0,D,10,6,4.75,1.95
Barcelona,Betis,5,2,H,1,1,D,20,4,1.36,7.5
Sevilla,Celta,1,1,D,0,0,D,19,2,1.57,5.75
Ath Bilbao,Sociedad,2,0,H,2,0,H,15,2,2.4,3.25
Osasuna,Barcelona,2,2,D,1,0,H,15,8,8,1.45
Getafe,Alaves,1,1,D,1,1,D,15,5,1.8,5.25
Levante,Valladolid,2,0,H,0,0,D,16,15,2,3.8
Betis,Leganes,2,1,H,0,0,D,17,19,2.15,3.6
Valencia,Mallorca,2,0,H,1,0,H,9,12,1.4,8
Ath Madrid,Eibar,3,2,H,1,2,A,7,6,1.36,11
Espanol,Granada,0,3,A,0,1,A,15,14,2,4
Villarreal,Real Madrid,2,2,D,1,1,D,10,17,3.8,1.85
Mallorca,Ath Bilbao,0,0,D,0,0,D,10,11,3.5,2.3
Real Madrid,Levante,3,2,H,3,0,H,25,8,1.25,10
Leganes,Villarreal,0,3,A,0,2,A,10,8,2.5,3.1
Sociedad,Ath Madrid,2,0,H,0,0,D,14,12,3.75,2.15
Barcelona,Valencia,5,2,H,2,1,H,17,9,1.55,5.75
Eibar,Espanol,1,2,A,0,0,D,11,7,2,3.9
Alaves,Sevilla,0,1,A,0,1,A,7,19,4,2.05
Celta,Granada,0,2,A,0,1,A,4,13,1.7,4.75
Valladolid,Osasuna,1,1,D,0,0,D,11,17,2.05,3.75
Betis,Getafe,1,1,D,0,1,A,7,12,2.1,3.6
Osasuna,Betis,0,0,D,0,0,D,12,7,2.37,3
Villarreal,Valladolid,2,0,H,0,0,D,18,7,1.61,5.5
Levante,Eibar,0,0,D,0,0,D,13,18,2.3,3
Ath Madrid,Celta,0,0,D,0,0,D,20,6,1.5,7.5
Granada,Barcelona,2,0,H,1,0,H,9,8,7,1.44
Getafe,Mallorca,4,2,H,2,0,H,14,7,1.75,5.5
Espanol,Sociedad,1,3,A,0,2,A,17,10,3,2.4
Valencia,Leganes,1,1,D,1,1,D,13,13,1.57,6.5
Ath Bilbao,Alaves,2,0,H,1,0,H,13,5,1.65,6
Sevilla,Real Madrid,0,1,A,0,0,D,9,7,2.5,2.6
Valladolid,Granada,1,1,D,1,1,D,9,6,2.25,3.5
Betis,Levante,3,1,H,1,1,D,17,17,1.75,4.5
Barcelona,Villarreal,2,1,H,2,1,H,8,11,1.25,10
Leganes,Ath Bilbao,1,1,D,0,0,D,7,9,2.87,2.8
Mallorca,Ath Madrid,0,2,A,0,1,A,9,13,5.5,1.66
Valencia,Getafe,3,3,D,3,1,H,8,18,2.37,3.5
Real Madrid,Osasuna,2,0,H,1,0,H,15,4,1.36,8
Eibar,Sevilla,3,2,H,0,2,A,11,7,3.25,2.2
Celta,Espanol,1,1,D,0,0,D,14,10,1.75,4.75
Sociedad,Alaves,3,0,H,3,0,H,21,5,1.5,7.5
Villarreal,Betis,5,1,H,1,0,H,17,11,1.72,4.5
Ath Bilbao,Valencia,0,1,A,0,1,A,14,10,2,4.2
Getafe,Barcelona,0,2,A,0,1,A,8,10,4,2.05
Granada,Leganes,1,0,H,1,0,H,11,15,2.37,3.3
Ath Madrid,Real Madrid,0,0,D,0,0,D,7,14,2.25,3.25
Espanol,Valladolid,0,2,A,0,1,A,16,9,2.1,3.75
Eibar,Celta,2,0,H,0,0,D,7,3,2.37,2.9
Alaves,Mallorca,2,0,H,0,0,D,11,5,2.37,3.5
Levante,Osasuna,1,1,D,1,0,H,10,18,2.25,3.25
Sevilla,Sociedad,3,2,H,1,1,D,21,5,2,3.75
Betis,Eibar,1,1,D,0,1,A,12,8,1.9,4
Leganes,Levante,1,2,A,0,1,A,25,9,2,4
Real Madrid,Granada,4,2,H,2,0,H,17,8,1.28,11
Valencia,Alaves,2,1,H,1,0,H,11,10,1.57,6.5
Osasuna,Villarreal,2,1,H,0,1,A,16,16,2.6,2.75
Mallorca,Espanol,2,0,H,1,0,H,9,11,2.45,3.2
Celta,Ath Bilbao,1,0,H,0,0,D,13,6,2.35,3.4
Valladolid,Ath Madrid,0,0,D,0,0,D,5,9,5.75,1.65
Sociedad,Getafe,1,2,A,1,0,H,6,13,2.15,3.8
Barcelona,Sevilla,4,0,H,3,0,H,15,16,1.44,6.5
Granada,Osasuna,1,0,H,1,0,H,6,9,2.4,3.3
Eibar,Barcelona,0,3,A,0,1,A,5,9,6.5,1.44
Ath Madrid,Valencia,1,1,D,1,0,H,15,11,1.53,7
Getafe,Leganes,2,0,H,0,0,D,5,7,2.15,4
Mallorca,Real Madrid,1,0,H,1,0,H,5,13,6,1.53
Alaves,Celta,2,0,H,0,0,D,12,14,2.9,2.6
Sociedad,Betis,3,1,H,2,1,H,18,12,1.8,4.33
Espanol,Villarreal,0,1,A,0,1,A,18,11,2.9,2.37
Ath Bilbao,Valladolid,1,1,D,1,0,H,19,9,1.75,5.25
Sevilla,Levante,1,0,H,0,0,D,19,12,1.3,9.5
Villarreal,Alaves,4,1,H,1,0,H,19,12,1.57,6
Leganes,Mallorca,1,0,H,1,0,H,9,9,1.7,5.5
Valladolid,Eibar,2,0,H,2,0,H,8,13,2.5,3
Ath Madrid,Ath Bilbao,2,0,H,1,0,H,9,9,1.66,6.5
Celta,Sociedad,0,1,A,0,0,D,9,9,2.55,2.75
Granada,Betis,1,0,H,0,0,D,13,12,2.4,3
Levante,Espanol,0,1,A,0,1,A,7,14,2.35,3
Sevilla,Getafe,2,0,H,0,0,D,15,9,1.7,5.5
Osasuna,Valencia,3,1,H,1,1,D,21,2,2.62,2.75
Alaves,Ath Madrid,1,1,D,0,0,D,11,9,4.5,1.9
Barcelona,Valladolid,5,1,H,3,1,H,18,9,1.1,26
Sociedad,Levante,1,2,A,0,2,A,17,13,1.53,5.75
Valencia,Sevilla,1,1,D,0,1,A,10,10,3.1,2.3
Ath Bilbao,Espanol,3,0,H,2,0,H,7,12,1.85,5
Betis,Celta,2,1,H,1,0,H,11,18,2.2,3.25
Real Madrid,Leganes,5,0,H,3,0,H,22,5,1.25,12
Eibar,Villarreal,2,1,H,0,0,D,25,9,2.37,2.9
Mallorca,Osasuna,2,2,D,1,0,H,11,12,2.55,3.1
Getafe,Granada,3,1,H,2,0,H,8,10,1.72,5.25
Espanol,Valencia,1,2,A,1,0,H,13,11,2.45,2.87
Levante,Barcelona,3,1,H,0,1,A,9,9,9,1.25
Sevilla,Ath Madrid,1,1,D,1,0,H,11,14,2.45,3.1
Real Madrid,Betis,0,0,D,0,0,D,22,13,1.22,10
Valladolid,Mallorca,3,0,H,1,0,H,12,14,1.9,4.33
Villarreal,Ath Bilbao,0,0,D,0,0,D,11,12,2.05,4
Osasuna,Alaves,4,2,H,3,1,H,19,11,1.75,5.25
Celta,Getafe,0,1,A,0,1,A,6,9,2.45,3.1
Leganes,Eibar,1,2,A,1,1,D,12,7,2.15,3.75
Granada,Sociedad,1,2,A,1,1,D,5,9,2.62,2.87
Sociedad,Leganes,1,1,D,0,0,D,11,6,1.8,5
Alaves,Valladolid,3,0,H,2,0,H,14,7,2.3,3.4
Valencia,Granada,2,0,H,0,0,D,12,13,1.6,6
Eibar,Real Madrid,0,4,A,0,3,A,14,10,5,1.6
Barcelona,Celta,4,1,H,2,1,H,10,6,1.2,13
Mallorca,Villarreal,3,1,H,2,0,H,5,22,3.75,2.05
Ath Bilbao,Levante,2,1,H,0,1,A,23,8,1.66,5.5
Ath Madrid,Espanol,3,1,H,1,1,D,18,10,1.45,8
Getafe,Osasuna,0,0,D,0,0,D,14,4,1.85,4.75
Betis,Sevilla,1,2,A,1,1,D,18,10,3.8,1.95
Levante,Mallorca,2,1,H,0,0,D,13,14,1.8,4.33
Leganes,Barcelona,1,2,A,1,0,H,9,11,5.75,1.6
Betis,Valencia,2,1,H,1,1,D,25,9,2.3,3
Granada,Ath Madrid,1,1,D,0,0,D,9,17,5.5,1.75
Real Madrid,Sociedad,3,1,H,1,1,D,18,11,1.36,7
Espanol,Getafe,1,1,D,1,1,D,6,11,2.8,2.75
Osasuna,Ath Bilbao,1,2,A,0,1,A,12,6,2.8,2.8
Eibar,Alaves,0,2,A,0,0,D,18,7,1.85,4.33
Villarreal,Celta,1,3,A,0,0,D,15,11,1.72,4.6
Valladolid,Sevilla,0,1,A,0,1,A,7,4,4.6,1.75
Celta,Valladolid,0,0,D,0,0,D,13,9,1.7,5.25
Alaves,Real Madrid,1,2,A,0,0,D,8,12,7,1.4
Sociedad,Eibar,4,1,H,1,1,D,15,10,1.66,5.25
Mallorca,Betis,1,2,A,0,2,A,16,15,2.75,2.62
Valencia,Villarreal,2,1,H,0,0,D,13,24,1.95,3.6
Sevilla,Leganes,1,0,H,0,0,D,16,8,1.5,7
Ath Bilbao,Granada,2,0,H,1,0,H,14,8,1.8,5.25
Espanol,Osasuna,2,4,A,1,0,H,12,14,2.4,3.2
Getafe,Levante,4,0,H,0,0,D,13,7,1.65,5.5
Ath Madrid,Barcelona,0,1,A,0,0,D,17,13,2.87,2.6
Villarreal,Ath Madrid,0,0,D,0,0,D,23,18,3.9,2
Real Madrid,Espanol,2,0,H,1,0,H,18,6,1.2,13
Granada,Alaves,3,0,H,0,0,D,13,5,2.45,3.4
Levante,Valencia,2,4,A,2,1,H,17,10,3.6,1.9
Barcelona,Mallorca,5,2,H,4,1,H,25,9,1.1,23
Eibar,Getafe,0,1,A,0,0,D,6,6,2.87,2.75
Betis,Ath Bilbao,3,2,H,3,1,H,10,8,2.3,3.25
Valladolid,Sociedad,0,0,D,0,0,D,4,16,3.2,2.35
Leganes,Celta,3,2,H,2,0,H,15,9,2.62,2.9
Osasuna,Sevilla,1,1,D,1,1,D,10,13,3.3,2.2
Alaves,Leganes,1,1,D,0,1,A,10,3,2.45,3.1
Granada,Levante,1,2,A,0,0,D,18,13,1.95,3.8
Sociedad,Barcelona,2,2,D,1,1,D,19,9,5,1.61
Ath Bilbao,Eibar,0,0,D,0,0,D,8,8,1.7,5.25
Ath Madrid,Osasuna,2,0,H,0,0,D,19,15,1.4,9
Getafe,Valladolid,2,0,H,1,0,H,7,10,1.7,6
Celta,Mallorca,2,2,D,1,1,D,18,8,1.57,6
Espanol,Betis,2,2,D,2,1,H,16,10,2.6,2.8
Sevilla,Villarreal,1,2,A,0,1,A,24,9,1.57,5.5
Valencia,Real Madrid,1,1,D,0,0,D,9,19,4.33,1.75
Barcelona,Real Madrid,0,0,D,0,0,D,9,17,1.65,4.75
Eibar,Granada,3,0,H,2,0,H,21,12,1.85,4.5
Mallorca,Sevilla,0,2,A,0,1,A,8,13,5.5,1.6
Barcelona,Alaves,4,1,H,2,0,H,8,5,1.11,26
Villarreal,Getafe,1,0,H,0,0,D,11,7,2.45,3.1
Valladolid,Valencia,1,1,D,0,0,D,14,5,3.25,2.25
Leganes,Espanol,2,0,H,1,0,H,11,9,2.1,4
Osasuna,Sociedad,3,4,A,1,3,A,19,13,3.1,2.3
Betis,Ath Madrid,1,2,A,0,0,D,15,8,4,1.95
Levante,Celta,3,1,H,0,1,A,13,12,2.6,2.62
Real Madrid,Ath Bilbao,0,0,D,0,0,D,20,8,1.33,9
